Source,Target
1897240915,@railaodinga
2929252750,@
4513741397,@williamsruto
4513741397,@railaodinga
2267336859,@williamsruto
2267336859,@railaodinga
1487804318652809216,@
3134755743,@williamsruto
3134755743,@railaodinga
1229769149188124672,@
3677470348,@musaliamudavadi
3677470348,@williamsruto
3677470348,@sakajajohnson
3677470348,@mwalimu_amunga
3677470348,@sakajajohnson
1182780427255341056,@williamsruto
1182780427255341056,@railaodinga
1086518679309815808,@williamsruto
1086518679309815808,@railaodinga
1400404795031175168,@
826338233311182848,@williamsruto
826338233311182848,@railaodinga
735503595991371776,@williamsruto
735503595991371776,@railaodinga
2194145797,@williamsruto
2194145797,@railaodinga
1296560876296835072,@williamsruto
1296560876296835072,@railaodinga
1306170881438355456,@williamsruto
1306170881438355456,@railaodinga
395422054,@williamsruto
395422054,@railaodinga
40168697,@williamsruto
40168697,@
2929252750,@williamsruto
2929252750,@railaodinga
2929252750,@williamsruto
832205527362867200,@mwalimu_amunga
832205527362867200,@sakajajohnson
937694810433097728,@williamsruto
937694810433097728,@railaodinga
1223892743816204288,@
2195601763,@
1506291998298361856,@williamsruto
1506291998298361856,@railaodinga
1010175269364256768,@
2267336859,@
1333319417976016896,@williamsruto
1333319417976016896,@railaodinga
1530216656617844736,@
1157050422,@williamsruto
1157050422,@railaodinga
1530115938732883968,@
912325619157012480,@williamsruto
912325619157012480,@railaodinga
416986001,@williamsruto
416986001,@railaodinga
1530115938732883968,@dr_mutaieric
1530115938732883968,@koechnelsonk
1530115938732883968,@aaroncheruiyot
1530115938732883968,@rigathgachagua
1469256265117360128,@williamsruto
1469256265117360128,@railaodinga
1190978384,@williamsruto
1190978384,@railaodinga
476563121,@williamsruto
476563121,@railaodinga
913347002204901376,@
1479370249631932416,@williamsruto
1479370249631932416,@railaodinga
980517498272604160,@
1376833278381015040,@williamsruto
1376833278381015040,@railaodinga
835103019855405056,@
719705020,@
1463734156463161344,@williamsruto
1463734156463161344,@railaodinga
3020280357,@williamsruto
3020280357,@railaodinga
1467423958098190336,@williamsruto
1467423958098190336,@railaodinga
3255314446,@
1454414562871189504,@williamsruto
1454414562871189504,@railaodinga
1187661639371374592,@williamsruto
1187661639371374592,@railaodinga
564665735,@williamsruto
564665735,@railaodinga
1130137267195064320,@williamsruto
1130137267195064320,@railaodinga
936224340072390656,@williamsruto
936224340072390656,@railaodinga
1513084194221666304,@williamsruto
1513084194221666304,@railaodinga
4600570889,@williamsruto
4600570889,@railaodinga
1422162942305443840,@
2528267698,@williamsruto
2528267698,@railaodinga
366300522,@williamsruto
366300522,@railaodinga
366300522,@
954251091771908096,@
1453232840456478720,@
2719480965,@williamsruto
2719480965,@railaodinga
1150123559731286016,@
1172339870,@
1215439676,@williamsruto
1215439676,@railaodinga
1431629823525462016,@williamsruto
819177433127591936,@williamsruto
819177433127591936,@williamsruto
819177433127591936,@railaodinga
1295032579,@williamsruto
1295032579,@railaodinga
1212364097003511808,@
1188357065573650432,@williamsruto
1188357065573650432,@railaodinga
216069518,@williamsruto
216069518,@railaodinga
4855128472,@williamsruto
4855128472,@railaodinga
527314875,@williamsruto
527314875,@railaodinga
955156333485068288,@mwalimu_amunga
955156333485068288,@sakajajohnson
1259401796830846976,@williamsruto
1259401796830846976,@railaodinga
1182780427255341056,@williamsruto
1220264749289656320,@williamsruto
1220264749289656320,@railaodinga
1490274006238388224,@
1220264749289656320,@
1415271958548209664,@williamsruto
1415271958548209664,@railaodinga
3321038232,@williamsruto
3321038232,@railaodinga
