Id,Label,Sentiment,Account Type,Gender,Impact,Impressions,Total Monthly Visitors,Twitter Followers,Twitter Following,Twitter Tweets,Reach (new)
1221911399468847104,hustlermilan,neutral,individual,male,0.0,257,1414667000,257,478,2151,0
566181766,Tonipassiany,positive,individual,male,2.2,2008,1414667000,2008,1798,10803,1191
566181766,Tonipassiany,neutral,individual,male,2.2,2008,1414667000,2008,1798,10800,1191
1219304109054054400,amohprovoke,neutral,individual,unknown,0.0,1408,1414667000,1408,821,3548,624
4392898757,254Mish,neutral,individual,unknown,15.4,3945,1414667000,3945,4915,30768,2500
702145297225535488,AlexMugendi11,neutral,individual,male,0.0,1167,1414667000,1167,1285,6797,353
549968240,CharlesKimuyu,neutral,individual,male,0.0,1237,1414667000,1237,4961,7300,435
152181438,EPLNewsSoccer,neutral,individual,unknown,29.7,8088,1414667000,8088,2966,381229,4304
1314383330,kirweco14,neutral,individual,unknown,0.0,527,1414667000,527,341,17522,0
243641368,Gichovi_e,neutral,individual,male,0.0,1385,1414667000,1385,4992,1164,600
1336002016796172288,Nyawira2005,neutral,individual,unknown,0.0,147,1414667000,147,298,2452,0
1213110193036218368,Musinga23169686,neutral,individual,unknown,0.0,20,1414667000,20,170,108,0
1109672282,LXG_News,neutral,individual,male,0.0,254,1414667000,254,317,1152,0
1270411683169742848,manucho__ke,neutral,individual,unknown,0.0,1234,1414667000,1234,736,4316,432
1010841207235383296,MikeMusungu1,neutral,individual,male,0.0,174,1414667000,174,336,516,0
1087249648358752256,comradefyat,neutral,individual,unknown,57.8,214851,1414667000,214851,3116,151161,22643
2264467486,Dizzy_Snazzy,neutral,individual,unknown,0.0,88,1414667000,88,140,380,0
1437995413,g_kimeli,neutral,individual,male,0.0,567,1414667000,567,2571,2677,0
734825869022265344,NAIROBI_1ST,neutral,individual,unknown,0.0,1087,1414667000,1087,327,807,256
1351467913367089152,C_chengke,neutral,individual,unknown,3.7,2301,1414667000,2301,2187,1955,1430
1020701191452471296,FranklinKipyeg1,neutral,individual,male,0.0,463,1414667000,463,2170,1713,0
1162352059556999168,MwaurahDrax,neutral,individual,male,0.0,424,1414667000,424,108,13525,0
773949072,ckositany,neutral,individual,male,60.1,288062,1414667000,288062,4413,2025,25640
914628382222057472,Rashidhatibu254,neutral,individual,male,0.0,261,1414667000,261,157,17627,0
940013503087284224,bibirioni,neutral,individual,unknown,0.0,455,1414667000,455,635,17699,0
835103019855405056,joe_clinch,neutral,individual,male,0.0,819,1414667000,819,700,6806,0
1170402759000166400,AKimorgo,neutral,individual,male,0.0,985,1414667000,985,1736,2484,124
1183291227757862912,Pr0no,neutral,individual,unknown,26.4,6220,1414667000,6220,5277,27997,3588
2319017782,DrRotichPHD,neutral,individual,unknown,0.0,339,1414667000,339,1510,3300,0
1275355282051346432,Elizabe40374232,neutral,individual,female,0.0,53,1414667000,53,94,144,0
365592558,sospetermkaimba,neutral,individual,unknown,0.0,221,1414667000,221,947,5495,0
918559775306276864,NtongaiEzekiel,neutral,individual,unknown,19.9,4387,1414667000,4387,4979,39147,2738
1438836134516232192,Wesl_39,neutral,individual,male,0.0,142,1414667000,142,213,134,0
1087620845453934592,MlinziVinnie,neutral,individual,male,0.0,409,1414667000,409,243,5723,0
1477593005418856448,TonyKingv20,neutral,individual,male,0.0,47,1414667000,47,21,2980,0
933303535642476544,FaithfulnessJSA,neutral,individual,male,0.0,658,1414667000,658,617,2777,0
399044866,mulinguum,neutral,individual,unknown,0.0,1092,1414667000,1092,1377,125066,262
1259500757612670976,DesmondTowett,neutral,individual,unknown,2.7,2103,1414667000,2103,1626,17214,1271
1670683963,sammy_macharia,neutral,individual,unknown,0.0,1467,1414667000,1467,1870,36503,686
913347002204901376,caleb_gachugu,neutral,individual,male,0.0,501,1414667000,501,548,1642,0
